sample	group
SRR10873729	18-19
SRR10874866	18-19
SRR10874863	18-19
SRR10874870	18-19
SRR10873476	18-19
SRR10874855	18-19
SRR10874852	18-19
SRR10873992	18-19
SRR10873474	18-19
SRR10874819	18-19
SRR10881939	18-19
SRR10873776	18-19
SRR10873766	18-19
SRR10873760	18-19
SRR10873745	18-19
SRR10873752	18-19
SRR10873829	18-19
SRR10874827	18-19
SRR10874825	18-19
SRR10875071	18-19
SRR10875068	18-19
SRR10874916	18-19
SRR10874878	18-19
SRR10875093	18-19
SRR10875095	18-19
SRR10874851	18-19
SRR10874854	18-19
SRR10874868	18-19
SRR10874872	18-19
SRR10873759	18-19
SRR10873770	18-19
SRR10874917	18-19
SRR10874896	18-19
SRR10875082	18-19
SRR10874050	18-19
SRR10873876	18-19
SRR10873765	18-19
SRR9850918	16-17
SRR9850919	16-17
SRR9850920	16-17
SRR9850921	16-17
SRR9850939	16-17
SRR9850974	16-17
SRR9850976	16-17
SRR9850977	16-17
SRR9850978	16-17
SRR9850979	16-17
SRR9850980	16-17
SRR9850981	16-17
SRR9850982	16-17
SRR9850983	16-17
SRR9850984	16-17
SRR9850932	16-17
SRR9850933	16-17
SRR9850934	16-17
SRR9850935	16-17
SRR9850936	16-17
SRR9850937	16-17
SRR9850938	16-17
SRR9850940	16-17
SRR9850941	16-17
SRR9850943	16-17
SRR9850922	16-17
SRR9850923	16-17
SRR9850924	16-17
SRR9850925	16-17
SRR9850928	16-17
SRR9850945	16-17
SRR9850946	16-17
SRR9850947	16-17
SRR9850951	16-17
SRR9850952	16-17
SRR9850953	16-17
SRR9850954	16-17
SRR9850967	16-17
SRR9850968	16-17
SRR9850969	16-17
SRR9850970	16-17
SRR9850971	16-17
SRR9850972	16-17
SRR9850973	16-17
SRR9850975	16-17
SRR9850988	16-17
SRR9850989	16-17
SRR9850990	16-17
SRR9850991	16-17
SRR9850992	16-17
SRR9850993	16-17
SRR9850955	16-17
SRR9850956	16-17
SRR9850957	16-17
SRR9850958	16-17
SRR9850959	16-17
SRR9850960	16-17
SRR9850961	16-17
SRR9850962	16-17
SRR9850963	16-17
SRR9850964	16-17
SRR9850965	16-17
SRR9850966	16-17
SRR9850985	16-17
SRR9850986	16-17
SRR9850987	16-17
SRR9850912	16-17
SRR9850913	16-17
SRR9850914	16-17
SRR9850915	16-17
SRR9850916	16-17
SRR9850917	16-17
SRR9850926	16-17
SRR9850927	16-17
SRR9850929	16-17
SRR9850930	16-17
SRR9850931	16-17
SRR9850942	16-17
SRR9850944	16-17
SRR9850994	16-17
SRR9850995	16-17
SRR9850996	16-17
SRR9850997	16-17
SRR9850998	16-17
SRR9850999	16-17
SRR9851000	16-17
SRR9851001	16-17
SRR9851002	16-17
SRR9851003	16-17
SRR9851004	16-17
SRR10083277	16-17
SRR10083279	16-17
SRR10083280	16-17
SRR10083281	16-17
SRR10083282	16-17
SRR10083283	16-17
SRR10083284	16-17
SRR10083285	16-17
SRR10083286	16-17
SRR10083323	16-17
SRR10083324	16-17
SRR10083311	16-17
SRR10083310	16-17
SRR10083309	16-17
SRR10083308	16-17
SRR10083307	16-17
SRR10083305	16-17
SRR10083304	16-17
SRR10083303	16-17
SRR10083302	16-17
SRR10083301	16-17
SRR10083300	16-17
CRR028392	16-17
CRR028393	16-17
CRR028394	16-17
CRR028395	16-17
CRR028396	16-17
CRR028397	16-17
DRR279222	16-17
DRR279219	16-17
DRR279221	16-17
DRR279220	16-17
SRR5886139	16-17
SRR5886137	16-17
SRR5886138	16-17
DRR173096	16-17
DRR173097	16-17
DRR173098	16-17
DRR173099	16-17
DRR173100	16-17
DRR173101	16-17
SRR13307418	16-17
SRR13307419	16-17
SRR13307420	16-17
SRR13307421	16-17
SRR13307422	16-17
SRR13307423	16-17
SRR13307424	16-17
SRR13307425	16-17
SRR13307426	16-17
SRR13307427	16-17
SRR13307428	16-17
SRR13307429	16-17
SRR13307430	16-17
SRR13307431	16-17
SRR13307432	16-17
SRR13307433	16-17
SRR13307434	16-17
SRR13307435	16-17
SRR13307436	16-17
SRR13307437	16-17
SRR13307438	16-17
SRR13307439	16-17
SRR13307440	16-17
SRR13307441	16-17
SRR13307442	16-17
SRR13307443	16-17
